NAICS_Code,Year,Month,Num_Employees
441,2009,Jan,1368.9
441,2010,Jan,1301.6
441,2011,Jan,1344.5
441,2012,Jan,1384.4
441,2013,Jan,1428.5
441,2014,Jan,1490.0
441,2015,Jan,1557.0
441,2016,Jan,1615.1
441,2017,Jan,1642.0
441,2018,Jan,1647.8
441,2019,Jan,1672.9
442,2009,Jan,395.4
442,2010,Jan,366.9
442,2011,Jan,371.7
442,2012,Jan,375.5
442,2013,Jan,377.3
442,2014,Jan,376.8
442,2015,Jan,384.9
442,2016,Jan,388.0
442,2017,Jan,401.6
442,2018,Jan,409.6
442,2019,Jan,419.2
443,2009,Jan,439.7
443,2010,Jan,422.8
443,2011,Jan,426.3
443,2012,Jan,419.6
443,2013,Jan,417.0
443,2014,Jan,423.1
443,2015,Jan,429.8
443,2016,Jan,441.6
443,2017,Jan,430.3
443,2018,Jan,409.7
443,2019,Jan,392.6
444,2009,Jan,953.6
444,2010,Jan,887.4
444,2011,Jan,876.7
444,2012,Jan,901.6
444,2013,Jan,921.6
444,2014,Jan,959.7
444,2015,Jan,966.2
444,2016,Jan,982.9
444,2017,Jan,991.8
444,2018,Jan,1046.0
444,2019,Jan,1047.8
445,2009,Jan,2507.5
445,2010,Jan,2478.3
445,2011,Jan,2474.8
445,2012,Jan,2507.3
445,2013,Jan,2542.0
445,2014,Jan,2585.7
445,2015,Jan,2658.4
445,2016,Jan,2656.5
445,2017,Jan,2685.8
445,2018,Jan,2669.5
445,2019,Jan,2686.8
446,2009,Jan,795.1
446,2010,Jan,793.9
446,2011,Jan,784.8
446,2012,Jan,800.7
446,2013,Jan,824.6
446,2014,Jan,835.7
446,2015,Jan,817.4
446,2016,Jan,815.0
446,2017,Jan,844.1
446,2018,Jan,842.5
446,2019,Jan,839.2
447,2009,Jan,707.5
447,2010,Jan,693.1
447,2011,Jan,693.8
447,2012,Jan,702.9
447,2013,Jan,709.1
447,2014,Jan,733.7
447,2015,Jan,751.6
447,2016,Jan,769.4
447,2017,Jan,775.4
447,2018,Jan,773.1
447,2019,Jan,789.4
448,2009,Jan,1179.0
448,2010,Jan,1137.0
448,2011,Jan,1134.1
448,2012,Jan,1142.3
448,2013,Jan,1180.8
448,2014,Jan,1145.6
448,2015,Jan,1110.2
448,2016,Jan,1116.2
448,2017,Jan,1146.0
448,2018,Jan,1107.5
448,2019,Jan,1090.1
451,2009,Jan,510.0
451,2010,Jan,491.7
451,2011,Jan,494.5
451,2012,Jan,491.3
451,2013,Jan,508.0
451,2014,Jan,513.9
451,2015,Jan,523.3
451,2016,Jan,522.0
451,2017,Jan,522.5
451,2018,Jan,503.5
451,2019,Jan,477.1
452,2009,Jan,2751.0
452,2010,Jan,2734.4
452,2011,Jan,2867.7
452,2012,Jan,2984.5
452,2013,Jan,2833.6
452,2014,Jan,2856.2
452,2015,Jan,2840.1
452,2016,Jan,2860.9
452,2017,Jan,2907.3
452,2018,Jan,2883.1
452,2019,Jan,2901.1
453,2009,Jan,659.8
453,2010,Jan,630.3
453,2011,Jan,616.4
453,2012,Jan,629.0
453,2013,Jan,640.3
453,2014,Jan,648.1
453,2015,Jan,654.6
453,2016,Jan,664.6
453,2017,Jan,648.0
453,2018,Jan,655.8
453,2019,Jan,672.3
454,2009,Jan,353.8
454,2010,Jan,336.9
454,2011,Jan,348.9
454,2012,Jan,365.7
454,2013,Jan,382.6
454,2014,Jan,404.8
454,2015,Jan,417.3
454,2016,Jan,434.2
454,2017,Jan,456.5
454,2018,Jan,460.5
454,2019,Jan,471.4
441,2009,Feb,1361.9
441,2010,Feb,1300.1
441,2011,Feb,1352.8
441,2012,Feb,1394.4
441,2013,Feb,1432.2
441,2014,Feb,1499.4
441,2015,Feb,1566.7
441,2016,Feb,1621.3
441,2017,Feb,1646.1
441,2018,Feb,1658.5
441,2019,Feb,1677.0
442,2009,Feb,378.6
442,2010,Feb,359.0
442,2011,Feb,359.6
442,2012,Feb,365.3
442,2013,Feb,370.0
442,2014,Feb,370.3
442,2015,Feb,383.3
442,2016,Feb,383.3
442,2017,Feb,394.9
442,2018,Feb,399.7
442,2019,Feb,409.4
443,2009,Feb,428.6
443,2010,Feb,413.0
443,2011,Feb,418.0
443,2012,Feb,415.0
443,2013,Feb,402.1
443,2014,Feb,396.5
443,2015,Feb,411.8
443,2016,Feb,424.8
443,2017,Feb,411.7
443,2018,Feb,398.2
443,2019,Feb,383.3
444,2009,Feb,949.7
444,2010,Feb,898.7
444,2011,Feb,890.8
444,2012,Feb,913.3
444,2013,Feb,941.2
444,2014,Feb,972.7
444,2015,Feb,983.0
444,2016,Feb,1004.4
444,2017,Feb,1004.2
444,2018,Feb,1077.4
444,2019,Feb,1063.4
445,2009,Feb,2490.9
445,2010,Feb,2454.9
445,2011,Feb,2459.5
445,2012,Feb,2491.6
445,2013,Feb,2527.0
445,2014,Feb,2577.8
445,2015,Feb,2647.7
445,2016,Feb,2660.2
445,2017,Feb,2674.3
445,2018,Feb,2656.3
445,2019,Feb,2683.6
446,2009,Feb,790.8
446,2010,Feb,783.5
446,2011,Feb,777.1
446,2012,Feb,796.8
446,2013,Feb,818.2
446,2014,Feb,812.9
446,2015,Feb,810.4
446,2016,Feb,809.1
446,2017,Feb,830.9
446,2018,Feb,826.5
446,2019,Feb,826.3
447,2009,Feb,702.7
447,2010,Feb,688.3
447,2011,Feb,690.8
447,2012,Feb,701.2
447,2013,Feb,713.8
447,2014,Feb,730.1
447,2015,Feb,751.3
447,2016,Feb,768.2
447,2017,Feb,773.5
447,2018,Feb,774.8
447,2019,Feb,789.1
448,2009,Feb,1126.7
448,2010,Feb,1091.1
448,2011,Feb,1081.6
448,2012,Feb,1083.2
448,2013,Feb,1103.5
448,2014,Feb,1087.1
448,2015,Feb,1063.5
448,2016,Feb,1072.3
448,2017,Feb,1092.6
448,2018,Feb,1066.0
448,2019,Feb,1039.2
451,2009,Feb,481.0
451,2010,Feb,475.7
451,2011,Feb,472.2
451,2012,Feb,484.1
451,2013,Feb,492.3
451,2014,Feb,492.7
451,2015,Feb,507.2
451,2016,Feb,507.4
451,2017,Feb,497.1
451,2018,Feb,485.0
451,2019,Feb,458.5
452,2009,Feb,2674.1
452,2010,Feb,2686.1
452,2011,Feb,2810.7
452,2012,Feb,2851.9
452,2013,Feb,2738.3
452,2014,Feb,2769.1
452,2015,Feb,2751.1
452,2016,Feb,2788.2
452,2017,Feb,2805.1
452,2018,Feb,2812.1
452,2019,Feb,2793.9
453,2009,Feb,659.1
453,2010,Feb,631.5
453,2011,Feb,622.2
453,2012,Feb,641.8
453,2013,Feb,649.3
453,2014,Feb,652.7
453,2015,Feb,655.9
453,2016,Feb,658.6
453,2017,Feb,657.6
453,2018,Feb,663.2
453,2019,Feb,674.8
454,2009,Feb,341.4
454,2010,Feb,329.7
454,2011,Feb,339.5
454,2012,Feb,361.1
454,2013,Feb,376.6
454,2014,Feb,400.2
454,2015,Feb,412.0
454,2016,Feb,428.5
454,2017,Feb,455.2
454,2018,Feb,461.7
454,2019,Feb,474.4
441,2009,Mar,1354.0
441,2010,Mar,1309.4
441,2011,Mar,1366.1
441,2012,Mar,1404.0
441,2013,Mar,1446.2
441,2014,Mar,1511.2
441,2015,Mar,1581.8
441,2016,Mar,1635.2
441,2017,Mar,1654.7
441,2018,Mar,1662.3
441,2019,Mar,1689.9
442,2009,Mar,372.7
442,2010,Mar,359.1
442,2011,Mar,360.8
442,2012,Mar,363.6
442,2013,Mar,367.0
442,2014,Mar,366.9
