NAICS_code,Industry_Title,Num_Businesses
11,"Agriculture, Forestry, Fishing and Hunting",350038
1111,Oilseed and Grain Farming,55359
111110,Soybean Farming,4590
111120,Oilseed (except Soybean) Farming,154
111130,Dry Pea and Bean Farming,3430
111140,Wheat Farming,6328
111150,Corn Farming,25216
111160,Rice Farming,900
111191,Oilseed and Grain Combination Farming,0
111199,All Other Grain Farming,14741
1112,Vegetable and Melon Farming,4510
111211,Potato Farming,601
111219,Other Vegetable (except Potato) and Melon Farming,3909
1113,Fruit and Tree Nut Farming,11237
111310,Orange Groves,217
111320,Citrus (except Orange) Groves,652
111331,Apple Orchards,1576
111332,Grape Vineyards,2534
111333,Strawberry Farming,289
111334,Berry (except Strawberry) Farming,1020
111335,Tree Nut Farming,1456
111336,Fruit and Tree Nut Combination Farming,217
111339,Other Noncitrus Fruit Farming,3276
1114,"Greenhouse, Nursery, and Floriculture Production",11754
111411,Mushroom Production,271
111419,Other Food Crops Grown Under Cover,623
111421,Nursery and Tree Production,5882
111422,Floriculture Production,4978
1119,Other Crop Farming,125935
111910,Tobacco Farming,1946
111920,Cotton Farming,3071
111930,Sugarcane Farming,165
111940,Hay Farming,2584
111991,Sugar Beet Farming,462
111992,Peanut Farming,334
111998,All Other Miscellaneous Crop Farming,117373
1121,Cattle Ranching and Farming,44139
112111,Beef Cattle Ranching and Farming,15189
112112,Cattle Feedlots,9857
112120,Dairy Cattle and Milk Production,19093
112130,Dual-Purpose Cattle Ranching and Farming,0
1122,Hog and Pig Farming,3872
112210,Hog and Pig Farming,3872
1123,Poultry and Egg Production,3512
112310,Chicken Egg Production,531
112320,Broilers and Other Meat Type Chicken Production,888
112330,Turkey Production,562
112340,Poultry Hatcheries,603
112390,Other Poultry Production,928
1124,Sheep and Goat Farming,1250
112410,Sheep Farming,788
112420,Goat Farming,462
1125,Aquaculture,1583
112511,Finfish Farming and Fish Hatcheries,1222
112512,Shellfish Farming,84
112519,Other Aquaculture,277
1129,Other Animal Production,33939
112910,Apiculture,1356
112920,Horses and Other Equine Production,3717
112930,Fur-Bearing Animal and Rabbit Production,369
112990,All Other Animal Production,28497
1131,Timber Tract Operations,2026
113110,Timber Tract Operations,2026
1132,Forest Nurseries and Gathering of Forest Products,900
113210,Forest Nurseries and Gathering of Forest Products,900
1133,Logging,7556
113310,Logging,7556
1141,Fishing,1051
114111,Finfish Fishing,465
114112,Shellfish Fishing,429
114119,Other Marine Fishing,157
1142,Hunting and Trapping,1947
114210,Hunting and Trapping,1947
1151,Support Activities for Crop Production,11781
115111,Cotton Ginning,548
115112,"Soil Preparation, Planting, and Cultivating",4178
115113,"Crop Harvesting, Primarily by Machine",1751
115114,Postharvest Crop Activities (except Cotton Ginning),1927
115115,Farm Labor Contractors and Crew Leaders,547
115116,Farm Management Services,2830
1152,Support Activities for Animal Production,22727
115210,Support Activities for Animal Production,22727
1153,Support Activities for Forestry,4960
115310,Support Activities for Forestry,4960
21,"Mining, Quarrying, and Oil and Gas Extraction",29357
2111,Oil and Gas Extraction,5277
211120,Crude Petroleum Extraction,4881
211130,Natural Gas Extraction,396
2121,Coal Mining,574
212111,Bituminous Coal and Lignite Surface Mining,424
212112,Bituminous Coal Underground Mining,104
212113,Anthracite Mining,46
2122,Metal Ore Mining,647
212210,Iron Ore Mining,80
212221,Gold Ore Mining,311
212222,Silver Ore Mining,39
212230,"Copper, Nickel, Lead, and Zinc Mining",116
212291,Uranium-Radium-Vanadium Ore Mining,49
212299,All Other Metal Ore Mining,52
2123,Nonmetallic Mineral Mining and Quarrying,4956
212311,Dimension Stone Mining and Quarrying,431
212312,Crushed and Broken Limestone Mining and Quarrying,867
212313,Crushed and Broken Granite Mining and Quarrying,167
212319,Other Crushed and Broken Stone Mining and Quarrying,380
212321,Construction Sand and Gravel Mining,2321
212322,Industrial Sand Mining,200
212324,Kaolin and Ball Clay Mining,51
212325,Clay and Ceramic and Refractory Minerals Mining,103
212391,"Potash, Soda, and Borate Mineral Mining",35
212392,Phosphate Rock Mining,17
212393,Other Chemical and Fertilizer Mineral Mining,107
212399,All Other Nonmetallic Mineral Mining,277
2131,Support Activities for Mining,17903
213111,Drilling Oil and Gas Wells,2174
213112,Support Activities for Oil and Gas Operations,14739
213113,Support Activities for Coal Mining,463
213114,Support Activities for Metal Mining,350
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,177
22,Utilities,36392
2211,"Electric Power Generation, Transmission and Distribution",16315
221111,Hydroelectric Power Generation,60
221112,Fossil Fuel Electric Power Generation,121
221113,Nuclear Electric Power Generation,31
221114,Solar Electric Power Generation,468
221115,Wind Electric Power Generation,194
221116,Geothermal Electric Power Generation,101
221117,Biomass Electric Power Generation,92
221118,Other Electric Power Generation,12179
221121,Electric Bulk Power Transmission and Control,250
221122,Electric Power Distribution,2819
2212,Natural Gas Distribution,3323
221210,Natural Gas Distribution,3323
2213,"Water, Sewage and Other Systems",16754
221310,Water Supply and Irrigation Systems,14467
221320,Sewage Treatment Facilities,1961
221330,Steam and Air-Conditioning Supply,326
31-33,Manufacturing,613500
3111,Animal Food Manufacturing,2040
311111,Dog and Cat Food Manufacturing,433
311119,Other Animal Food Manufacturing,1607
3112,Grain and Oilseed Milling,2154
311211,Flour Milling,659
311212,Rice Milling,124
311213,Malt Manufacturing,56
311221,Wet Corn Milling,197
311224,Soybean and Other Oilseed Processing,145
311225,Fats and Oils Refining and Blending,612
311230,Breakfast Cereal Manufacturing,361
3113,Sugar and Confectionery Product Manufacturing,2439
311313,Beet Sugar Manufacturing,58
311314,Cane Sugar Manufacturing,104
311340,Nonchocolate Confectionery Manufacturing,1337
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,638
