NAICS_Code,Year,Month,Total_Sales
441,2018,Jan,87735
"4411,4412",2018,Jan,80723
4411,2018,Jan,76671
44111,2018,Jan,67953
44112,2018,Jan,8718
4413,2018,Jan,7012
"442,443",2018,Jan,16550
442,2018,Jan,8699
4421,2018,Jan,4697
4422,2018,Jan,4002
442299,2018,Jan,2292
443,2018,Jan,7851
443141,2018,Jan,1224
443142,2018,Jan,6627
444,2018,Jan,24501
4441,2018,Jan,22049
44412,2018,Jan,820
44413,2018,Jan,1889
445,2018,Jan,60510
4451,2018,Jan,54897
44511,2018,Jan,52742
4453,2018,Jan,3992
446,2018,Jan,28292
44611,2018,Jan,24173
447,2018,Jan,37558
448,2018,Jan,15881
4481,2018,Jan,11735
44811,2018,Jan,567
44812,2018,Jan,2363
44814,2018,Jan,6303
44819,2018,Jan,1243
4482,2018,Jan,2027
44831,2018,Jan,1917
451,2018,Jan,5937
45111,2018,Jan,2721
45112,2018,Jan,1094
451211,2018,Jan,1269
452,2018,Jan,50235
4521,2018,Jan,9103
452111,2018,Jan,2809
452112,2018,Jan,6294
4529,2018,Jan,41132
45291,2018,Jan,35340
45299,2018,Jan,5792
453,2018,Jan,9651
4532,2018,Jan,2116
45321,2018,Jan,1109
45322,2018,Jan,1007
45330,2018,Jan,1428
454,2018,Jan,53839
4541,2018,Jan,44962
45431,2018,Jan,5082
722,2018,Jan,54795
7224,2018,Jan,2178
7225,2018,Jan,47824
722511,2018,Jan,24035
441,2017,Jan,84240
"4411,4412",2017,Jan,77399
4411,2017,Jan,73667
44111,2017,Jan,65249
44112,2017,Jan,8418
4413,2017,Jan,6841
"442,443",2017,Jan,15830
442,2017,Jan,8307
4421,2017,Jan,4517
4422,2017,Jan,3790
44221,2017,Jan,1433
442299,2017,Jan,2203
443,2017,Jan,7523
443141,2017,Jan,1273
443142,2017,Jan,6250
444,2017,Jan,23383
4441,2017,Jan,21103
44412,2017,Jan,776
44413,2017,Jan,1717
445,2017,Jan,57414
4451,2017,Jan,52069
44511,2017,Jan,49971
4453,2017,Jan,3734
446,2017,Jan,26492
44611,2017,Jan,22418
447,2017,Jan,34136
448,2017,Jan,15663
4481,2017,Jan,11655
44811,2017,Jan,555
44812,2017,Jan,2410
44814,2017,Jan,6013
44819,2017,Jan,1465
4482,2017,Jan,2097
44831,2017,Jan,1742
451,2017,Jan,6257
45111,2017,Jan,2915
45112,2017,Jan,1183
451211,2017,Jan,1373
452,2017,Jan,49248
4521,2017,Jan,9223
452111,2017,Jan,2943
452112,2017,Jan,6280
4529,2017,Jan,40025
45291,2017,Jan,34599
45299,2017,Jan,5426
453,2017,Jan,8807
4532,2017,Jan,2154
45321,2017,Jan,1201
45322,2017,Jan,953
45330,2017,Jan,1344
454,2017,Jan,47188
4541,2017,Jan,40085
45431,2017,Jan,3333
722,2017,Jan,52902
7224,2017,Jan,2104
7225,2017,Jan,46326
722511,2017,Jan,23051
441,2016,Jan,80151
"4411,4412",2016,Jan,73365
4411,2016,Jan,69732
44111,2016,Jan,62088
44112,2016,Jan,7644
4413,2016,Jan,6786
"442,443",2016,Jan,15780
442,2016,Jan,8181
4421,2016,Jan,4515
4422,2016,Jan,3666
44221,2016,Jan,1400
442299,2016,Jan,2134
443,2016,Jan,7599
443141,2016,Jan,1230
443142,2016,Jan,6369
444,2016,Jan,21980
4441,2016,Jan,19656
44412,2016,Jan,696
44413,2016,Jan,1688
445,2016,Jan,56837
4451,2016,Jan,51652
44511,2016,Jan,49701
4453,2016,Jan,3604
446,2016,Jan,26088
44611,2016,Jan,22152
447,2016,Jan,30018
448,2016,Jan,15694
4481,2016,Jan,11616
44811,2016,Jan,560
44812,2016,Jan,2495
44814,2016,Jan,6080
44819,2016,Jan,1251
4482,2016,Jan,2117
44831,2016,Jan,1777
451,2016,Jan,6459
45111,2016,Jan,3057
45112,2016,Jan,1186
451211,2016,Jan,1429
